Glosa_Producto
MEDICAMENTOS Y PRODUCTOS VETERINARIOS
SERVICIOS PARA MASCOTAS
SERVICIOS PRESTADOS POR CENTROS RECREATIVOS
SERVICIOS ASOCIADOS A LA PRÁCTICA DEPORTIVA
JUEGOS DE AZAR
INSTRUMENTOS MUSICALES
ENTRADAS A ESPECTÁCULOS CULTURALES
TEXTOS EDUCATIVOS
LIBROS
DIARIOS
ARTÍCULOS DE ESCRITORIO Y ARTES MANUALES
"ALIMENTOS ADQUIRIDOS EN RESTAURANTES, CAFÉS Y SIMILARES"
"BEBIDAS NO ALCOHÓLICAS ADQUIRIDAS EN RESTAURANTES, CAFÉS Y SIMILARES"
"BEBIDAS ALCOHÓLICAS ADQUIRIDAS EN RESTAURANTES, CAFÉS Y SIMILARES"
SERVICIOS DE ALOJAMIENTO
APARATOS NO ELÉCTRICOS PARA EL CUIDADO PERSONAL
PAPEL HIGIÉNICO
ARTÍCULOS PARA EL CUIDADO E HIGIENE CAPILAR
"CREMAS, LOCIONES Y BLOQUEADORES"
PAÑALES DESECHABLES PARA BEBÉ
ARTÍCULOS DE HIGIENE BUCAL
JABONES
DESODORANTES Y ANTITRANSPIRANTES
ARTÍCULOS PARA LA CONTENCIÓN MENSTRUAL
COLONIAS Y PERFUMES
PRODUCTOS DE MAQUILLAJE
TINTURAS Y FIJADORES
SERVICIOS DE PELUQUERÍA
SERVICIOS EN CENTROS DE ESTÉTICA
JOYAS
RELOJES DE PULSERA
"MOCHILAS, CARTERAS Y MALETAS"
ARTÍCULOS PARA BEBÉS
RESIDENCIAS PARA ADULTOS MAYORES
SERVICIOS FUNERARIOS
EMISIÓN DE CERTIFICADOS
