Fuente,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_enero2014,pm_Febrero2014,pm_Marzo2014,pm_Abril2014,pm_mayo2014,pm_Junio2014,pm_Julio2014,pm_Agosto2014,pm_Septiembre2014,pm_Octubre2014,pm_Noviembre2014,pm_Diciembre2014,pm_16_enero2014,Reemplaza_enero2014,pm_16_febrero2014,Reemplaza_febrero2014,pm_16_marzo2014,Reemplaza_marzo2014,pm_16_Abril2014,Reemplaza_Abril2014,pm_16_mayo2014,Reemplaza_mayo2014,pm_16_Junio2014,Reemplaza_Junio2014,pm_16_Julio2014,Reemplaza_Julio2014,pm_16_Agosto2014,Reemplaza_Agosto2014,pm_16_Septiembre2014,Reemplaza_Septiembre2014,pm_16_Octubre2014,Reemplaza_Octubre2014,pm_16_Noviembre2014,Reemplaza_Noviembre2014,pm_16_Diciembre2014,Reemplaza_Diciembre2014,Estado_lev_Enero2014,Estado_lev_Febrero2014,Estado_lev_marzo2014,Estado_lev_Abril2014,Estado_lev_Mayo2014,Estado_lev_Junio2014,Estado_lev_Julio2014,Estado_lev_Agosto2014,Estado_lev_Septiembre2014,Estado_lev_octubre2014,Estado_lev_Noviembre2014,Estado_lev_Diciembre2014,Cantidad_Ene2014,Unidad_Ene2014,Cantidad_Feb2014,Unidad_Feb2014,Cantidad_Mar2014,Unidad_Mar2014,Cantidad_Abr2014,Unidad_Abr2014,Cantidad_May2014,Unidad_May2014,Cantidad_Jun2014,Unidad_Jun2014,Cantidad_Jul2014,Unidad_Jul2014,Cantidad_Ago2014,Unidad_Ago2014,Cantidad_Sep2014,Unidad_Sep2014,Cantidad_Oct2014,Unidad_Oct2014,Cantidad_Nov2014,Unidad_Nov2014,Cantidad_Dic2014,Unidad_Dic2014,Oferta_11Ene2014,Oferta_11Feb2014,Oferta_11Mar2014,Oferta_11Abr2014,Oferta_11May2014,Oferta_11Jun2014,Oferta_11Jul2014,Oferta_11Ago2014,Oferta_11Sep2014,Oferta_11Oct2014,Oferta_11Nov2014,Oferta_11Dic2014
1329,4,4,2,2,1,3,GAS LICUADO,"18775,00","19062,50","18160,00","17837,50","17925,00","17790,00","17812,50","16900,00","17470,00","17275,00","16275,00","15237,50","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
1353,4,4,2,2,1,2,GAS LICUADO,"18762,50","18612,50","17737,50","17387,50","17666,70","17625,00","17650,00","16400,00","17383,30","17110,00","15525,00","15200,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
1331,4,4,2,2,1,3,GAS LICUADO,"18724,00","18802,50","17940,00","17786,70","17858,00","17762,50","17625,00","16277,50","17490,00","16790,00","16180,00","15107,50","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
5798,4,4,2,2,1,3,GAS LICUADO,"18720,00","19220,00","18352,50","17894,00","18050,00","18152,50","18010,00","17812,50","17703,30","17390,00","16312,50","15412,50","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
5836,4,4,2,2,1,2,GAS LICUADO,"18690,00","18990,00","18940,00","18865,00","19490,00","19490,00","19090,00","18740,00","18990,00","18730,00","18365,00","16890,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
6233,4,2,2,1,1,2,SERVICIOS PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,"18684,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,0,0,0,0,0,0,0,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,
5855,4,4,2,2,1,2,GAS LICUADO,"18680,00","18912,50","17500,00","17700,00","17690,00","17725,00","17925,00","18037,50","18283,30","17937,50","17887,50","17350,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
1353,4,4,2,2,1,3,GAS LICUADO,"18670,00","18612,50","17737,50","17387,50","17666,70","17625,00","17650,00","15766,70","17383,30","16620,00","15525,00","15200,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
1343,4,4,2,2,1,2,GAS LICUADO,"18660,00","18862,50","18162,50","17660,00","17250,00","17150,00","16275,00","15537,50","15100,00","16560,00","15512,50","13300,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
5848,4,4,2,2,1,3,GAS LICUADO,"18650,00","18612,50","18050,00","17660,00","17600,00","17600,00","17600,00","17600,00","17600,00","17600,00","16000,00","15570,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,15.0,KG,,,,,,,,,,,,
