FECHA,CONCEPTO,PRECIO_PROMEDIO
2015-10-01,parafina,462.74642857142857
2015-10-01,taxi,2328.715789473684
2015-11-01,alojamiento,56326.637931034486
2015-11-01,comida_fuera,3279.2551020408164
2015-11-01,gas_licuado,9165.26335078534
2015-11-01,mantencion_hogar,12543.54298642534
2015-11-01,parafina,434.96250000000003
2015-11-01,taxi,2372.9824561403507
2015-12-01,alojamiento,52597.65517241379
2015-12-01,comida_fuera,3453.234693877551
2015-12-01,gas_licuado,13405.405759162304
2015-12-01,mantencion_hogar,12559.642533936652
2015-12-01,parafina,420.65535714285716
2015-12-01,taxi,2455.2754385964913
2016-01-01,alojamiento,52458.39655172414
2016-01-01,comida_fuera,3317.0102040816328
2016-01-01,gas_licuado,13354.406282722513
2016-01-01,mantencion_hogar,12367.570135746606
2016-01-01,parafina,381.23035714285714
2016-01-01,taxi,2489.5736842105266
2016-02-01,alojamiento,61462.48275862069
2016-02-01,comida_fuera,3758.234693877551
2016-02-01,gas_licuado,13444.438743455496
2016-02-01,mantencion_hogar,12800.37556561086
2016-02-01,parafina,386.7017857142857
2016-02-01,taxi,2441.6964912280705
2016-03-01,alojamiento,58649.08620689655
2016-03-01,comida_fuera,3794.2551020408164
2016-03-01,gas_licuado,13612.184816753926
2016-03-01,mantencion_hogar,12748.217194570136
2016-03-01,parafina,377.31607142857143
2016-03-01,taxi,2481.79649122807
2016-04-01,alojamiento,54594.293103448275
2016-04-01,comida_fuera,3835.683673469388
2016-04-01,gas_licuado,13636.750785340313
2016-04-01,mantencion_hogar,12818.429864253394
2016-04-01,parafina,380.2089285714286
2016-04-01,taxi,2508.9578947368423
2016-05-01,alojamiento,55054.93965517241
2016-05-01,comida_fuera,3748.3061224489797
2016-05-01,gas_licuado,13585.837696335078
2016-05-01,mantencion_hogar,12542.601809954751
2016-05-01,parafina,439.8375
2016-05-01,taxi,2450.1105263157892
2016-06-01,alojamiento,51267.19827586207
2016-06-01,comida_fuera,3549.8673469387754
2016-06-01,gas_licuado,13478.783246073299
2016-06-01,mantencion_hogar,12625.257918552035
2016-06-01,parafina,482.15714285714284
2016-06-01,taxi,2479.5315789473684
2016-07-01,alojamiento,53798.31034482759
